"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"Language"                                                                                     "None"
"npc_dota_hero_warlock_str10_description"                                                      "Chaotic Offering Golems have 2x more stats"
"npc_dota_hero_warlock_str11"                                                                  "Healing Charms"
"npc_dota_hero_warlock_str11_description"                                                      "Shadow Word has an area effect"
"npc_dota_hero_warlock_str12"                                                                  "Golems have become smarter and stronger"
"npc_dota_hero_warlock_str12_description"                                                      "Plus 300% of the target's stats in golems with Ripping the Flesh"
"npc_dota_hero_warlock_str13"                                                                  "More golems - more damage"
"npc_dota_hero_warlock_str13_description"                                                      "+1 golem summoned from ripped flesh+2 golems summoned from ultimate"
"npc_dota_hero_warlock_agi6"                                                                   "The soul of a golem is strength"
"npc_dota_hero_warlock_agi6_description"                                                       "Golem damage +300%, armor -50%"
"npc_dota_hero_warlock_agi7"                                                                   "Supremacy"
"npc_dota_hero_warlock_agi7_description"                                                       "+5 damage per level"
"npc_dota_hero_warlock_agi8"                                                                   "Golemology"
"npc_dota_hero_warlock_agi8_description"                                                       "+50% golem stats from Ripping the Flesh"
"npc_dota_hero_warlock_agi9"                                                                   "Bleeding"
"npc_dota_hero_warlock_agi9_description"                                                       "Golems gain lifesteal"
"npc_dota_hero_warlock_agi10"                                                                  "Explosive Attacks"
"npc_dota_hero_warlock_agi10_description"                                                      "Cleave damage to golems +75%"
"npc_dota_hero_warlock_agi11"                                                                  "High Demonologist"
"npc_dota_hero_warlock_agi11_description"                                                      "Chaotic Offering summons two golems"
"npc_dota_hero_warlock_agi12"                                                                  "Rise of the Golems"
"npc_dota_hero_warlock_agi12_description"                                                      "Summons + 3 golems from ultimate"
"npc_dota_hero_warlock_agi13"                                                                  "Forward my golems"
"npc_dota_hero_warlock_agi13_description"                                                      "golems stats +50%"
"npc_dota_hero_warlock_int6"                                                                   "Constriction"
"npc_dota_hero_warlock_int6_description"                                                       "Fatal Bonds slow down enemies"
"npc_dota_hero_warlock_int7"                                                                   "Feeling of fear"
"npc_dota_hero_warlock_int7_description"                                                       "The explosion from Ripping the Flesh deals damage equal to the hero's Intelligence"
"npc_dota_hero_warlock_int8"                                                                   "Golem Soul - Subjugation"
"npc_dota_hero_warlock_int8_description"                                                       "Chaotic Offering deals damage equal to the hero's Intelligence"
"npc_dota_hero_warlock_int9"                                                                   "Deadly Chains"
"npc_dota_hero_warlock_int9_description"                                                       "Fatal Bonds bind 4 more enemies"
"npc_dota_hero_warlock_int10"                                                                  "The soul of the golem is repentance"
"npc_dota_hero_warlock_int10_description"                                                      "Ripping the Flesh can be cast on the commander"
"npc_dota_hero_warlock_int11"                                                                  "Chain Reaction"
"npc_dota_hero_warlock_int11_description"                                                      "Fatal Bonds deal 6% more damage"
"npc_dota_hero_warlock_int12"                                                                  "The Unholy Compound at its finest"
"npc_dota_hero_warlock_int12_description"                                                      "Fatal Bonds stats x2"
"npc_dota_hero_warlock_int13"                                                                  "Naked might"
"npc_dota_hero_warlock_int13_description"                                                      "+100% int damage to explosion from Ripping the Flesh"
"dota_tooltip_ability_windrunner_powershot_lua"                                                "Powershot"
"dota_tooltip_ability_windrunner_powershot_lua_description"                                    "The hero makes a quick and powerful shot. The arrow deals damage to enemies and imposes a debuff on them, increasing all incoming damage."
"dota_tooltip_ability_windrunner_powershot_lua_attack_damage"                                  "DAMAGE:"
"dota_tooltip_ability_windrunner_powershot_lua_debuff_incoming_damage"                         "%INCREASE DAMAGE:"
"dota_tooltip_ability_windrunner_passive_lua"                                                  "Magic Shots"
"dota_tooltip_ability_windrunner_passive_lua_description"                                      "With an attack on the enemy, the hero increases the attack speed, and also reduces the cost of the hero's skills."
"dota_tooltip_ability_windrunner_passive_lua_max_stacks"                                       "STACKS:"
"dota_tooltip_ability_windrunner_passive_lua_attack_speed"                                     "BONUS ATTACK SPEED PER STACK:"
"dota_tooltip_ability_windrunner_passive_lua_mp_loss"                                          "%REDUCED MANACOSTS:"
"dota_tooltip_ability_windrunner_windrun_lua"                                                  "Windrun"
"dota_tooltip_ability_windrunner_windrun_lua_description"                                      "During movement, increases the speed of movement of the hero and allows him to dodge physical attacks."
"dota_tooltip_ability_windrunner_windrun_lua_speed"                                            "MOVEMENT SPEED BONUS:"
"dota_tooltip_ability_windrunner_windrun_lua_eva"                                              "%CHANCE OF EVASION:"
"dota_tooltip_ability_windrunner_arrow"                                                        "Wind Arrow"
"dota_tooltip_ability_windrunner_arrow_description"                                            "Within a few seconds, the hero fires dozens of arrows in the indicated direction, each arrow inflicting damage. The spell costs half your mana!"
"dota_tooltip_ability_windrunner_arrow_duration"                                               "DURATION:"
"dota_tooltip_ability_windrunner_arrow_damage"                                                 "%DAMAGE:"
"npc_dota_hero_windrunner_str6"                                                                "Tinker Style"
"npc_dota_hero_windrunner_str6_description"                                                    "While active, Focus Fire gains +5 armor and level, but cannot move"
"npc_dota_hero_windrunner_str7"                                                                "Daze"
"npc_dota_hero_windrunner_str7_description"                                                    "Focus Fire stops enemies it hits"
"npc_dota_hero_windrunner_str8"                                                                "Forest Thicket"
"npc_dota_hero_windrunner_str8_description"                                                    "+150 health per level"
"npc_dota_hero_windrunner_str9"                                                                "Not Tinker Style"
"npc_dota_hero_windrunner_str9_description"                                                    "Immune to magic while moving"
"npc_dota_hero_windrunner_str10"                                                               "Skelet Style"
"npc_dota_hero_windrunner_str10_description"                                                   "If hero's health is less than 30%, x3 Powershot damage"
"npc_dota_hero_windrunner_str11"                                                               "Forest Thing"
"npc_dota_hero_windrunner_str11_description"                                                   "Gains 1000hp for each boss killed"
"npc_dota_hero_windrunner_str12"                                                               "We heal - we live"
"npc_dota_hero_windrunner_str12_description"                                                   "100% lifesteal from Powershot"
"npc_dota_hero_windrunner_str13"                                                               "Can't catch"
"npc_dota_hero_windrunner_str13_description"                                                   "Evasion while moving 50%"
"npc_dota_hero_windrunner_agi6"                                                                "Rate of Fire"
"npc_dota_hero_windrunner_agi6_description"                                                    "x2 attack speed from passive"
"npc_dota_hero_windrunner_agi7"                                                                "Open wound"
"npc_dota_hero_windrunner_agi7_description"                                                    "Powershot increases incoming damage by 15%"
"npc_dota_hero_windrunner_agi8"                                                                "Absorption"
"npc_dota_hero_windrunner_agi8_description"                                                    "+5 damage per level"
"npc_dota_hero_windrunner_agi9"                                                                "Tailwind"
"npc_dota_hero_windrunner_agi9_description"                                                    "Attacks 3 additional targets while ult is cast"
"npc_dota_hero_windrunner_agi10"                                                               "Right on target"
"npc_dota_hero_windrunner_agi10_description"                                                   "Effect from Magic Shots.25% chance to use Powershot when attacking"
"npc_dota_hero_windrunner_agi11"                                                               "Years of training"
"npc_dota_hero_windrunner_agi11_description"                                                   "100 damage per boss"
"npc_dota_hero_windrunner_agi12"                                                               "Arrows of True Magic"
"npc_dota_hero_windrunner_agi12_description"                                                   "Plus 35% chance to trigger from Powershot, only works if the talent to trigger from Powershot is taken"
"npc_dota_hero_windrunner_agi13"                                                               "Unmissable Shooting"
"npc_dota_hero_windrunner_agi13_description"                                                   "Attacks have a 100% chance to shoot (all chance talents must be used to achieve this)"
"npc_dota_hero_windrunner_int6"                                                                "Magic Storm"
"npc_dota_hero_windrunner_int6_description"                                                    "Powershot reduces magic resistance by 25% for 2 seconds"
"npc_dota_hero_windrunner_int7"                                                                "Thrift"
"npc_dota_hero_windrunner_int7_description"                                                    "-25% mana cost of abilities"
"npc_dota_hero_windrunner_int8"                                                                "Liberation"
"npc_dota_hero_windrunner_int8_description"                                                    "Powershot and Focus Fire receive bonus damage equal to 50% of the hero's int"
"npc_dota_hero_windrunner_int9"                                                                "Child of the Woods"
"npc_dota_hero_windrunner_int9_description"                                                    "Focus Fire arrow damage equals Hero's Intelligence"
"npc_dota_hero_windrunner_int10"                                                               "Summer Monsoons"
"npc_dota_hero_windrunner_int10_description"                                                   "Wind Arrow duration 6 seconds"
"npc_dota_hero_windrunner_int11"                                                               "Winter Monsoons"
"npc_dota_hero_windrunner_int11_description"                                                   "3 arrows from Powershot"
"npc_dota_hero_windrunner_int12"                                                               "Arrows Bloom"
"npc_dota_hero_windrunner_int12_description"                                                   "50% increased int damage per overshot"
"npc_dota_hero_windrunner_int13"                                                               "Discount."
"npc_dota_hero_windrunner_int13_description"                                                   "Reduces PowerShot mana cost by 50% and increases damage dealt by 50%"
"dota_tooltip_ability_zuus_arc_lightning_lua"                                                  "Arc Lightning"
"dota_tooltip_ability_zuus_arc_lightning_lua_description"                                      "Hurls a bolt of lightning that leaps through nearby enemy units."
"dota_tooltip_ability_zuus_arc_lightning_lua_radius"                                           "RADIUS:"
"dota_tooltip_ability_zuus_arc_lightning_lua_jump_count"                                       "JUMPS:"
"dota_tooltip_ability_zuus_arc_lightning_lua_arc_damage"                                       "DMG:"
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua"                                                 "Lightning Bolt"
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua_Description"                                     "Strikes the enemy with lightning, dealing damage and briefly stunning them. In a radius of %sight_radius_night% around the target, provides unobstructed vision and reveals invisibility for a duration. This ability can be ground-targeted, affecting the nearest enemy hero within a radius of %spread_aoe%."
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua_abilitycastrange"                                "CAST RANGE:"
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua_sight_radius_day"                                "VISION RANGE:"
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua_sight_duration"                                  "VISION DURATION:"
"DOTA_Tooltip_ability_zuus_lightning_bolt_lua_damage"                                          "DAMAGE:"
"dota_tooltip_ability_zuus_nimbus"                                                             "Nimbus"
"dota_tooltip_ability_zuus_nimbus_description"                                                 "Creates a thundercloud that automatically casts Lightning Bolt on nearby enemies."
"dota_tooltip_ability_zuus_nimbus_cloud_abilitycastrange"                                      "CAST RANGE:"
"dota_tooltip_ability_zuus_nimbus_cloud_duration"                                              "DURATION:"
"dota_tooltip_ability_zuus_nimbus_cloud_interval"                                              "ATTACK INTERVAL:"
"dota_tooltip_ability_zuus_nimbus_cloud_radius"                                                "RADIUS:"
"dota_tooltip_ability_zuus_passive_lua"                                                        "Static Field"
"dota_tooltip_ability_zuus_passive_lua_description"                                            "All enemies within a small radius of the hero will receive magic damage based on the hero's intelligence."
"dota_tooltip_ability_zuus_passive_lua_radius"                                                 "RADIUS:"
"dota_tooltip_ability_zuus_passive_lua_damage"                                                 "DAMAGE:"
"dota_tooltip_ability_zuus_passive_lua_dmg_per_int"                                            "INTELLIGENCE IN THE FORM OF DAMAGE:"
"dota_tooltip_ability_zuus_thundergods_wrath_lua"                                              "Thundergod's Wrath"
"dota_tooltip_ability_zuus_thundergods_wrath_lua_description"                                  "Strikes all enemies with lightning in a small radius from the hero. The ability also reveals the invisibility of enemy creatures around each enemy hit. If the enemy's hero is invisible, he will not take damage, but invisibility will still be revealed."
"dota_tooltip_ability_zuus_thundergods_wrath_lua_damage"                                       "DMG:"
"dota_tooltip_ability_zuus_thundergods_wrath_lua_sight_radius_day"                             "RADIUS OF DISCLOSURE OF INVISIBILITY:"
"dota_tooltip_ability_zuus_thundergods_wrath_lua_sight_duration"                               "DURATION:"
"npc_dota_hero_zuus_str6"                                                                      "The Power of Heaven"
"npc_dota_hero_zuus_str6_description"                                                          "50% power in Static Field damage."
"npc_dota_hero_zuus_str7"                                                                      "Protecting the Skies"
"npc_dota_hero_zuus_str7_description"                                                          "50% Lightning Bolt damage power."
"npc_dota_hero_zuus_str8"                                                                      "Divine Knowledge"
"npc_dota_hero_zuus_str8_description"                                                          "After casting Lightning Bolt, Thundergod's Wrath can trigger near the hero, 10% chance."
"npc_dota_hero_zuus_str9"                                                                      "Simply God"
"npc_dota_hero_zuus_str9_description"                                                          "Increases Static Field radius to 800."
"npc_dota_hero_zuus_str10"                                                                     "Power of Mortality"
"npc_dota_hero_zuus_str10_description"                                                         "If you auto-cast Thundergod's Wrath, the cooldown will be reduced to 15 seconds. The mini ultimate deals 50% damage to enemies only near Zeus."
"npc_dota_hero_zuus_str11"                                                                     "Father of the Gods"
"npc_dota_hero_zuus_str11_description"                                                         "50% power to Thundergod's Wrath damage."
"npc_dota_hero_zuus_str12"                                                                     "Divine Punishment"
"npc_dota_hero_zuus_str12_description"                                                         "When receiving physical damage, the enemy will be hit by Static Field, 20% chance."
"npc_dota_hero_zuus_str13"                                                                     "Divine Punishment"
"npc_dota_hero_zuus_str13_description"                                                         "Thundergod's Wrath triggers when God dies."
"npc_dota_hero_zuus_agi6"                                                                      "Mortal Circle"
"npc_dota_hero_zuus_agi6_description"                                                          "Arc Lightning can be auto-casted, then the ability will trigger during auto attacks."
"npc_dota_hero_zuus_agi7"                                                                      "God, just a god"
"npc_dota_hero_zuus_agi7_description"                                                          "Every 1 sec, Lightning Bolt is cast on a random enemy within 700 radius."
"npc_dota_hero_zuus_agi8"                                                                      "Lightning Power"
"npc_dota_hero_zuus_agi8_description"                                                          "+300 cast range."
"npc_dota_hero_zuus_agi9"                                                                      "Forked Lightning"
"npc_dota_hero_zuus_agi9_description"                                                          "The higher the hero's attack speed, the lower the cooldown and mana cost of Arc Lightning."
"npc_dota_hero_zuus_agi9_tooltip"                                                              "The ability tooltip shows values ​​without reduction, but everything is calculated correctly. TRUST ME!"
"npc_dota_hero_zuus_agi10"                                                                     "Feeling of fear"
"npc_dota_hero_zuus_agi10_description"                                                         "Increases the radius of Thundergod's Wrath by 300 units."
"npc_dota_hero_zuus_agi11"                                                                     "Old Agility"
"npc_dota_hero_zuus_agi11_description"                                                         "Increases vision duration after casting Lightning Bolt by 3 seconds."
"npc_dota_hero_zuus_agi12"                                                                     "Ball Lightning"
"npc_dota_hero_zuus_agi12_description"                                                         "New Nimbus ability, uses Lightning Bolt."
"npc_dota_hero_zuus_agi12_tooltip"                                                             "Duration 30 seconds, interval 2.0, radius 800, cast range 2000"
"npc_dota_hero_zuus_agi13"                                                                     "Ball Lightning"
"npc_dota_hero_zuus_agi13_description"                                                         "Upgrades Nimbus ability."
"npc_dota_hero_zuus_agi13_tooltip"                                                             "Duration 40 seconds, interval 1.0, radius 1200, casting range 3000"
"npc_dota_hero_zuus_int6"                                                                      "From the heavens"
"npc_dota_hero_zuus_int6_description"                                                          "35% int to Arc Lightning damage."
"npc_dota_hero_zuus_int7"                                                                      "Storm"
"npc_dota_hero_zuus_int7_description"                                                          "100% int to Lightning Bolt damage."
"npc_dota_hero_zuus_int8"                                                                      "Storm"
"npc_dota_hero_zuus_int8_description"                                                          "100% int to Thundergod's Wrath damage."
"npc_dota_hero_zuus_int9"                                                                      "Cultist Support"
"npc_dota_hero_zuus_int9_description"                                                          "+2 Arc Lightning jumps."
"npc_dota_hero_zuus_int10"                                                                     "Clear weather"
"npc_dota_hero_zuus_int10_description"                                                         "Lightning Bolt casts an area of ​​350."
"npc_dota_hero_zuus_int11"                                                                     "Feeling Beautiful"
"npc_dota_hero_zuus_int11_description"                                                         "-50% Static Field cooldown."
"npc_dota_hero_zuus_int12"                                                                     "Lightning Punishment of Heaven"
"npc_dota_hero_zuus_int12_description"                                                         "Static Field Intelligence Multiplier +1.0"
"npc_dota_hero_zuus_int13"                                                                     "Heaven's Lightning Punishment"
"npc_dota_hero_zuus_int13_description"                                                         "All spell damage +100% int."
"DOTA_Tooltip_ability_jakiro_dual_breath_lua"                                                  "Dual Breath"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_Description"                                      "A stream of ice followed by a wave of fire. The ice slows enemies and the fire deals damage over time."
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_burn_damage"                                      "FIRE DAMAGE:"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_slow_movement_speed_pct"                          "%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_slow_attack_speed_pct"                            "SLOW ATTACK:"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_duration"                                         "DURATION:"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_start_radius"                                     "PRIMARY RADIUS:"
"DOTA_Tooltip_ability_jakiro_dual_breath_lua_end_radius"                                       "END RADIUS:"
"DOTA_Tooltip_ability_jakiro_ice_path_lua"                                                     "Ice Path"
"DOTA_Tooltip_ability_jakiro_ice_path_lua_Description"                                         "Creates a streak of ice that stuns and damages enemies that touch it."
"DOTA_Tooltip_ability_jakiro_ice_path_lua_duration"                                            "DURATION:"
"DOTA_Tooltip_ability_jakiro_ice_path_lua_path_delay"                                          "DELAY:"
"DOTA_Tooltip_ability_jakiro_ice_path_lua_path_radius"                                         "RADIUS:"
"DOTA_Tooltip_ability_jakiro_ice_path_lua_damage"                                              "DAMAGE:"
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua"                                                  "Liquid Fire"
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua_Description"                                      "Infuses your attack with liquid fire, setting the target and all enemies around it on fire. Victims take damage over time and attack at a slower rate."
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua_slow_attack_speed_pct"                            "SLOW ATTACK:"
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua_damage"                                           "FIRE DAMAGE:"
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua_abilityduration"                                  "DURATION:"
"DOTA_Tooltip_ability_jakiro_liquid_fire_lua_radius"                                           "RADIUS:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua"                                                   "Liquid Frost"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_Description"                                       "The hero infuses his attack with liquid frost, which slows the movement of the target and enemies near it for %duration% seconds, and also deals base damage to them every %tick_rate% seconds and removes a portion of their maximum health. Duration: % duration% sec."
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_duration"                                          "DURATION:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_movement_slow"                                     "%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_int_damage"                                        "% INTELLIGENCE DAMAGE:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_max_hp_damage"                                     "%DAMAGE FROM MAX HEALTH:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_abilitycastrange"                                  "CAST RANGE:"
"DOTA_Tooltip_ability_jakiro_liquid_ice_lua_radius"                                            "RADIUS:"
"DOTA_Tooltip_ability_jakiro_macropyre_lua"                                                    "Macropyre"
"DOTA_Tooltip_ability_jakiro_macropyre_lua_Description"                                        "The hero emits a wide stream of liquid flame that lasts for a while and deals damage to enemy units every second."
"DOTA_Tooltip_ability_jakiro_macropyre_lua_damage"                                             "DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_jakiro_macropyre_lua_abilitycastrange"                                   "FIRE LINE LENGTH:"
"DOTA_Tooltip_ability_jakiro_macropyre_lua_path_radius"                                        "FIRE LINE WIDTH:"
"DOTA_Tooltip_ability_jakiro_macropyre_lua_duration"                                           "DURATION:"
"npc_dota_hero_jakiro_str6"                                                                    "Taste of Blood"
"npc_dota_hero_jakiro_str6_description"                                                        "Dual Breath triggers in the direction of the hero's gaze with a 1.5 cooldown interval."
"npc_dota_hero_jakiro_str7"                                                                    "Faster than light"
"npc_dota_hero_jakiro_str7_description"                                                        "40% power to Macropyre damage per second."
"npc_dota_hero_jakiro_str8"                                                                    "Tough Skin"
"npc_dota_hero_jakiro_str8_description"                                                        "100% strength in Ice Path damage."
"npc_dota_hero_jakiro_str9"                                                                    "Paralysis"
"npc_dota_hero_jakiro_str9_description"                                                        "Dual Breath is applied in 5 directions, around the hero."
"npc_dota_hero_jakiro_str10"                                                                   "Indestructible"
"npc_dota_hero_jakiro_str10_description"                                                       "+150 radius, Macropyre range."
"npc_dota_hero_jakiro_str11"                                                                   "Magic Fortitude"
"npc_dota_hero_jakiro_str11_description"                                                       "Ice Path is applied in the same place 2 more times with a delay of 4 seconds."
"npc_dota_hero_jakiro_str12"                                                                   "All the power"
"npc_dota_hero_jakiro_str12_description"                                                       "New ability Liquid Frost."
"npc_dota_hero_jakiro_str13"                                                                   "All the power"
"npc_dota_hero_jakiro_str13_description"                                                       "Liquid Frost deals damage +2.5% of hero's max health."
"npc_dota_hero_jakiro_agi6"                                                                    "Nimble Strike"
"npc_dota_hero_jakiro_agi6_description"                                                        "0 sec Liquid Fire cooldown."
"npc_dota_hero_jakiro_agi7"                                                                    "Cunning Magic"
"npc_dota_hero_jakiro_agi7_description"                                                        "When attacked by Liquid Fire, the fire attack is Dual Breath."
"npc_dota_hero_jakiro_agi8"                                                                    "Blood Shroud"
"npc_dota_hero_jakiro_agi8_description"                                                        "2 charges of Dual Breath."
"npc_dota_hero_jakiro_agi9"                                                                    "Like Sven"
"npc_dota_hero_jakiro_agi9_description"                                                        "+150 Liquid Fire radius."
"npc_dota_hero_jakiro_agi10"                                                                   "Feeling of fear"
"npc_dota_hero_jakiro_agi10_description"                                                       "Dual Breath range x2."
"npc_dota_hero_jakiro_agi11"                                                                   "Old Agility"
"npc_dota_hero_jakiro_agi11_description"                                                       "After casting Dual Breath, applies Macropyre to the area of ​​effect for 2.5 seconds."
"npc_dota_hero_jakiro_agi12"                                                                   "Blood Ritual Infusion"
"npc_dota_hero_jakiro_agi12_description"                                                       "Liquid Fire stacks on the main target of the attack. Each stack increases damage by 10% of the original value."
"npc_dota_hero_jakiro_agi12_tooltip"                                                           "Stack duration is 6 seconds, similar to a huskar."
"npc_dota_hero_jakiro_agi13"                                                                   "Blood Ritual Infusion"
"npc_dota_hero_jakiro_agi13_description"                                                       "Liquid Fire's damage interval is halved."
"npc_dota_hero_jakiro_int6"                                                                    "Almost a mage"
"npc_dota_hero_jakiro_int6_description"                                                        "20% Intelligence to Liquid Fire damage."
"npc_dota_hero_jakiro_int7"                                                                    "More magic"
"npc_dota_hero_jakiro_int7_description"                                                        "30% int to Dual Breath damage per second."
"npc_dota_hero_jakiro_int8"                                                                    "Bloodstorm"
"npc_dota_hero_jakiro_int8_description"                                                        "60% int to Macropyre damage per second."
"npc_dota_hero_jakiro_int9"                                                                    "Everything is magic"
"npc_dota_hero_jakiro_int9_description"                                                        "+300 Liquid Fire cast range."
"npc_dota_hero_jakiro_int10"                                                                   "Bleeding"
"npc_dota_hero_jakiro_int10_description"                                                       "+2sec.duration of Dual Breath."
"npc_dota_hero_jakiro_int11"                                                                   "All Magic"
"npc_dota_hero_jakiro_int11_description"                                                       "Macropyre in 3 directions."
"npc_dota_hero_jakiro_int12"                                                                   "Intellectual Spell Boost"
"npc_dota_hero_jakiro_int12_description"                                                       "Dual Breath can apply multiple effects to enemies."
"npc_dota_hero_jakiro_int13"                                                                   "Intellectual Spell Boost"
"npc_dota_hero_jakiro_int13_description"                                                       "50% cooldown reduction on everything."
"dota_tooltip_ability_bloodseeker_bloodrage_lua"                                               "Bloodrage"
"dota_tooltip_ability_bloodseeker_bloodrage_lua_description"                                   "Awakens a thirst for blood within a target, causing them to attack faster and deal more spell damage, but they also lose a portion of their health per second."
"dota_tooltip_ability_bloodseeker_bloodrage_lua_duration"                                      "DURATION:"
"dota_tooltip_ability_bloodseeker_bloodrage_lua_bonus_as"                                      "ATTACK SPEED BONUS:"
"dota_tooltip_ability_bloodseeker_bloodrage_lua_bonus_spell_amp"                               "SPELL AMP BONUS:"
"dota_tooltip_ability_bloodseeker_bloodrage_lua_hp_loss"                                       "HP LOSS PER SECOND:"
"dota_tooltip_ability_bloodseeker_blood_rite_lua"                                              "Blood Rite"
"dota_tooltip_ability_bloodseeker_blood_rite_lua_description"                                  "The hero consecrates a chosen area with sacred blood. After %delay% seconds, the ritual completes, dealing damage to enemies, preventing health regeneration, and reducing movement speed by 50%."
"dota_tooltip_ability_bloodseeker_blood_rite_lua_duration"                                     "DURATION:"
"dota_tooltip_ability_bloodseeker_blood_rite_lua_damage"                                       "DAMAGE:"
"dota_tooltip_ability_bloodseeker_thirst_lua"                                                  "Thirst"
"dota_tooltip_ability_bloodseeker_thirst_lua_description"                                      "Each time the hero kills an enemy, they gain a buff and restore %bonus_lifesteal%%% of their maximum health."
"dota_tooltip_ability_bloodseeker_thirst_lua_duration"                                         "DURATION:"
"dota_tooltip_ability_bloodseeker_thirst_lua_bonus_agility"                                    "AGILITY PER STACK:"
"dota_tooltip_ability_bloodseeker_thirst_lua_bonus_movespeed"                                  "MOVEMENT SPEED PER STACK:"
"dota_tooltip_ability_bloodseeker_mist_lua"                                                    "Blood Mist"
"dota_tooltip_ability_bloodseeker_mist_lua_description"                                        "While active, the hero disperses their own blood, sacrificing health but dealing damage and slowing enemies within the area."
"dota_tooltip_ability_bloodseeker_mist_lua_damage"                                             "DAMAGE:"
"dota_tooltip_ability_bloodseeker_mist_lua_agility_dmg"                                        "AGILITY DAMAGE:"
"dota_tooltip_ability_bloodseeker_mist_lua_self_hit"                                           "HP LOSS PER SECOND:"
"dota_tooltip_ability_bloodseeker_mist_lua_slow"                                               "ENEMY SLOW:"
"dota_tooltip_ability_bloodseeker_mist_lua_radius"                                             "RADIUS:"
"npc_dota_hero_bloodseeker_str6"                                                               "Taste of Blood"
"npc_dota_hero_bloodseeker_str6_description"                                                   "While affected by Bloodrage +10% lifesteal"
"npc_dota_hero_bloodseeker_str7"                                                               "Faster than light"
"npc_dota_hero_bloodseeker_str7_description"                                                   "Thirst can be cast to get a number of stacks equal to the hero's level.\n The hero loses 50% of his health when activated."
"npc_dota_hero_bloodseeker_str8"                                                               "Tough Skin"
"npc_dota_hero_bloodseeker_str8_description"                                                   "When affected by Bloodrage, armor bonus equal to 50% attack speed bonus"
"npc_dota_hero_bloodseeker_str9"                                                               "Paralysis"
"npc_dota_hero_bloodseeker_str9_description"                                                   "Blood Rite stuns"
"npc_dota_hero_bloodseeker_str10"                                                              "Indestructible"
"npc_dota_hero_bloodseeker_str10_description"                                                  "20% chance to gain a stack of Thirst for 120 seconds."
"npc_dota_hero_bloodseeker_str11"                                                              "Magic Fortitude"
"npc_dota_hero_bloodseeker_str11_description"                                                  "When affected by Bloodrage, +25% magic resistance"
"npc_dota_hero_bloodseeker_str12"                                                              "All the power"
"npc_dota_hero_bloodseeker_str12_description"                                                  "Blood Mist gains 150% damage power"
"npc_dota_hero_bloodseeker_str13"                                                              "Advanced Hunter"
"npc_dota_hero_bloodseeker_str13_description"                                                  "Ultimate radius +300"
"npc_dota_hero_bloodseeker_agi6"                                                               "Nimble Strike"
"npc_dota_hero_bloodseeker_agi6_description"                                                   "Thirst's agility bonus is 2x."
"npc_dota_hero_bloodseeker_agi7"                                                               "Cunning Magic"
"npc_dota_hero_bloodseeker_agi7_description"                                                   "Blood Rite Agility Damage Multiplier +1.5"
"npc_dota_hero_bloodseeker_agi8"                                                               "Blood Envelopment"
"npc_dota_hero_bloodseeker_agi8_description"                                                   "Blood Mist Agility Damage Multiplier +0.5"
"npc_dota_hero_bloodseeker_agi9"                                                               "Like Sven"
"npc_dota_hero_bloodseeker_agi9_description"                                                   "4% cleave damage per stack of Thirst."
"npc_dota_hero_bloodseeker_agi10"                                                              "Feeling of fear"
"npc_dota_hero_bloodseeker_agi10_description"                                                  "Enemies affected by Blood Rite take 25% more damage from the hero"
"npc_dota_hero_bloodseeker_agi11"                                                              "Old Agility"
"npc_dota_hero_bloodseeker_agi11_description"                                                  "Bloodrage has a 10% chance to ignore the target's base armor when attacking."
"npc_dota_hero_bloodseeker_agi12"                                                              "Blood Ritual Infusion"
"npc_dota_hero_bloodseeker_agi12_description"                                                  "10% chance to cast Blood Rite when attacking"
"npc_dota_hero_bloodseeker_agi13"                                                              "Unstoppable Fury"
"npc_dota_hero_bloodseeker_agi13_description"                                                  "Killing a target with melee attacks puts BloodSeeker into a frenzy for 50% more ms and 75% attack speed for 10s, stackable"
"npc_dota_hero_bloodseeker_agi13_tooltip"                                                      "Some kind of imbecile"
"npc_dota_hero_bloodseeker_int6"                                                               "Almost a mage"
