"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"language"                                                                                     "Chinese"
"npc_dota_hero_silencer_int10_description"                                                     "如果盟友杀死你周围 800 半径范围内的小兵，你将获得叠加层。如果距离你 1000 半径范围内没有盟友，那么杀死小兵时有 10% 的几率获得 2 层叠加层。"
"npc_dota_hero_silencer_int11"                                                                 "双最后"
"npc_dota_hero_silencer_int11_description"                                                     "遗言伤害加倍"
"npc_dota_hero_silencer_int12"                                                                 "双重伤害"
"npc_dota_hero_silencer_int12_description"                                                     "2.5 倍智力伤害倍数。"
"npc_dota_hero_silencer_int13"                                                                 "更深入"
"npc_dota_hero_silencer_int13_description"                                                     "攻击时+23% 几率获得永久的智慧之刃"
"dota_tooltip_ability_necrolyte_death_pulse_lua"                                               "死亡脉冲"
"dota_tooltip_ability_necrolyte_death_pulse_lua_base_heal"                                     "治愈："
"dota_tooltip_ability_necrolyte_death_pulse_lua_damage"                                        "损害："
"dota_tooltip_ability_necrolyte_death_pulse_lua_description"                                   "英雄在自己周围释放死亡浪潮，伤害敌人并治愈盟友。"
"dota_tooltip_ability_necrolyte_death_pulse_lua_radius"                                        "半径："
"dota_tooltip_ability_necrolyte_ghost_shroud_lua"                                              "幽灵裹尸布"
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_description"                                  "英雄打开与死亡世界的联系，减缓周围敌人的速度。在这种形态下，他无法攻击，受到的魔法伤害增加，但受到物理攻击的保护，并快速恢复生命值和法力。"
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_duration"                                     "期间："
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_healing_amp_pct"                              "%恢复提升："
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_magic_amp_pct"                                "%额外魔法伤害："
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_radius"                                       "半径："
"dota_tooltip_ability_necrolyte_ghost_shroud_lua_slow_pct"                                     "%移动缓慢："
"dota_tooltip_ability_necrolyte_heartstopper_aura_lua"                                         "断心光环"
"dota_tooltip_ability_necrolyte_heartstopper_aura_lua_description"                             "英雄会阻止周围敌人的心脏，导致他们逐渐失去部分最大生命值。此外，在 %regen_duration% 秒内，加速每个被杀死的生物的生命值和法力恢复。"
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_radius"                                  "半径："
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_heal_regen_to_damage"                    "%健康恢复伤害："
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_health_regen"                            "从杀戮中恢复健康："
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_mana_regen"                              "每次击杀恢复的法力值："
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_boss_multiplier"                         "BOSS 击杀恢复倍数："
"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_lua_regen_duration"                          "冷却时间："
"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_buff"                                       "断心光环"
"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_buff_Description"                           "生命值恢复%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%，法力恢复%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%。"
"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_intrinsic"                                  "断心光环"
"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_intrinsic_Description"                      "生命值恢复%dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%。"
"dota_tooltip_ability_necrolyte_reapers_scythe_lua"                                            "收割者的镰刀"
"dota_tooltip_ability_necrolyte_reapers_scythe_lua_description"                                "击晕目标敌方英雄 %stun_duration% 秒，然后对他们造成伤害。每损失生命值百分比，伤害就会增加。"
"dota_tooltip_ability_necrolyte_reapers_scythe_lua_damage"                                     "损害："
"dota_tooltip_ability_necrolyte_reapers_scythe_lua_damage_increase"                            "每损失百分之一的生命值，伤害就会增加百分比："
"dota_tooltip_ability_necrolyte_reapers_scythe_lua_mp_regen"                                   "法力再生堆栈："
"dota_tooltip_ability_necrolyte_reapers_scythe_lua_hp_regen"                                   "生命再生堆栈："
"DOTA_Tooltip_modifier_reapers_scythe_stack_lua"                                               "收割者的镰刀"
"DOTA_Tooltip_modifier_reapers_scythe_stack_lua_description"                                   "生命值恢复%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%，法力恢复%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%。"
"npc_dota_hero_necrolyte_str6"                                                                 "更多再生"
"npc_dota_hero_necrolyte_str6_description"                                                     "断心光环的恢复叠加 +40%。"
"npc_dota_hero_necrolyte_str7"                                                                 "命脉"
"npc_dota_hero_necrolyte_str7_description"                                                     "死亡脉冲恢复 +10% 最大生命值。"
"npc_dota_hero_necrolyte_str8"                                                                 "幻影防御"
"npc_dota_hero_necrolyte_str8_description"                                                     "幽灵裹尸布不会增加传入的伤害。"
"npc_dota_hero_necrolyte_str9"                                                                 "死亡光环"
"npc_dota_hero_necrolyte_str9_description"                                                     "断心光环伤害+50%"
"npc_dota_hero_necrolyte_str10"                                                                "致命力量"
"npc_dota_hero_necrolyte_str10_description"                                                    "死亡脉冲伤害强度为 50%。"
"npc_dota_hero_necrolyte_str11"                                                                "幻影涟漪"
"npc_dota_hero_necrolyte_str11_description"                                                    "幽灵裹尸布激活后会触发死亡脉冲。"
"npc_dota_hero_necrolyte_str12"                                                                "幻境复原"
"npc_dota_hero_necrolyte_str12_description"                                                    "50% 幽灵裹尸布再生提升。"
"npc_dota_hero_necrolyte_str13"                                                                "幻影再生"
"npc_dota_hero_necrolyte_str13_description"                                                    "断心光环伤害+100%"
"npc_dota_hero_necrolyte_agi6"                                                                 "杀手光环"
"npc_dota_hero_necrolyte_agi6_description"                                                     "止心光环 Boss 的 12 乘数。"
"npc_dota_hero_necrolyte_agi7"                                                                 "致命的冲动无处不在"
"npc_dota_hero_necrolyte_agi7_description"                                                     "死亡脉冲可施展范围为600。"
"npc_dota_hero_necrolyte_agi8"                                                                 "幽灵状态下的战斗"
"npc_dota_hero_necrolyte_agi8_description"                                                     "英雄可以被幽灵裹尸布击中。"
"npc_dota_hero_necrolyte_agi9"                                                                 "死亡光环增益"
"npc_dota_hero_necrolyte_agi9_description"                                                     "15 秒止心光环增益持续时间。"
"npc_dota_hero_necrolyte_agi10"                                                                "放射状死亡脉冲"
"npc_dota_hero_necrolyte_agi10_description"                                                    "死亡脉冲在英雄附近以 1.7 冷却时间间隔触发。"
"npc_dota_hero_necrolyte_agi11"                                                                "幻影之怒"
"npc_dota_hero_necrolyte_agi11_description"                                                    "在幽灵裹尸布效果下+150 攻击速度。"
"npc_dota_hero_necrolyte_agi12"                                                                "宿命的死亡"
"npc_dota_hero_necrolyte_agi12_description"                                                    "攻击时有 7% 的几率施放死神镰刀。"
"npc_dota_hero_necrolyte_agi13"                                                                "审判打击"
"npc_dota_hero_necrolyte_agi13_description"                                                    "攻击时有 12% 几率施放死神镰刀。"
"npc_dota_hero_necrolyte_int6"                                                                 "致命的心灵"
"npc_dota_hero_necrolyte_int6_description"                                                     "死亡脉冲伤害 60%。"
"npc_dota_hero_necrolyte_int7"                                                                 "智力惩罚"
"npc_dota_hero_necrolyte_int7_description"                                                     "死神的镰刀伤害 100%。"
"npc_dota_hero_necrolyte_int8"                                                                 "幻影折磨"
"npc_dota_hero_necrolyte_int8_description"                                                     "幽灵裹尸布每秒造成 50% 的智力伤害。"
"npc_dota_hero_necrolyte_int9"                                                                 "减少死亡"
"npc_dota_hero_necrolyte_int9_description"                                                     "-2秒死亡脉冲冷却时间。"
"npc_dota_hero_necrolyte_int10"                                                                "死刑加速"
"npc_dota_hero_necrolyte_int10_description"                                                    "死神镰刀的冷却时间缩短至 70 秒。"
"npc_dota_hero_necrolyte_int11"                                                                "减少幽灵裹尸布"
"npc_dota_hero_necrolyte_int11_description"                                                    "幽灵裹尸布冷却时间-6秒"
"npc_dota_hero_necrolyte_int12"                                                                "死刑"
"npc_dota_hero_necrolyte_int12_description"                                                    "在所有级别上，死神镰刀的伤害增加+1%。"
"npc_dota_hero_necrolyte_int13"                                                                "死刑强化"
"npc_dota_hero_necrolyte_int13_description"                                                    "在所有级别上，死神镰刀的伤害额外增加 +1.5%。"
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile"                                           "魔法导弹"
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_Description"                               "向敌人发射一枚魔法导弹，使其眩晕并造成伤害。"
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_shard_description"                         "射弹会反弹到该技能当前施法半径内的一名额外敌人（主要是英雄）。"
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_Lore"                                      "最简单的斯凯拉斯技术——魔法导弹——是申德尔复仇的主要工具。"
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_magic_missile_stun"                        "眩晕持续时间："
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_magic_missile_damage"                      "损害："
"DOTA_Tooltip_ability_vengeful_spirit_magic_missile_abilitycastrange"                          "施法范围："
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror"                                          "恐怖浪潮"
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror_Description"                              "英雄发出可怕的呐喊，削弱敌人的铠甲，显露出战士的迷雾。"
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror_Lore"                                     "珊德尔令人心碎的声音警告她的接近。"
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror_armor_reduction"                          "护甲减少："
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror_abilityduration"                          "效果持续时间："
"DOTA_Tooltip_ability_vengeful_spirit_wave_of_terror_vision_duration"                          "审核持续时间："
"DOTA_Tooltip_ability_vengeful_spirit_command_aura"                                            "复仇光环"
"DOTA_Tooltip_ability_vengeful_spirit_command_aura_Description"                                "英雄的存在会增加附近友方英雄的伤害。对拥有者的效果强%self_multi%倍。"
"DOTA_Tooltip_ability_vengeful_spirit_command_aura_Lore"                                       "并不是每个人都有复仇的强烈渴望，但过度的狂热会激发英雄行为。"
"DOTA_Tooltip_ability_vengeful_spirit_command_aura_bonus_base_damage"                          "%额外基础伤害："
"DOTA_Tooltip_ability_vengeful_spirit_command_aura_aura_radius"                                "半径："
"DOTA_Tooltip_ability_vengeful_tempest_double"                                                 "复仇的化身"
"DOTA_Tooltip_ability_vengeful_tempest_double_Description"                                     "英雄召唤出自己的复制品。"
"DOTA_Tooltip_ability_vengeful_tempest_double_duration"                                        "期间："
"DOTA_Tooltip_ability_vengeful_tempest_double_incoming_damage"                                 "%幻象伤害："
"DOTA_Tooltip_ability_vengeful_tempest_double_outgoing_damage"                                 "%幻象伤害："
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror"                                         "恐怖浪潮"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_Description"                             "基础护甲减少 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。"
"DOTA_Tooltip_modifier_vengeful_spirit_command_aura_effect"                                    "复仇光环"
"DOTA_Tooltip_modifier_vengeful_spirit_command_aura_effect_Description"                        "基础伤害增加 %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%。"
"DOTA_Tooltip_modifier_vengeful_spirit_command_negative_aura_effect"                           "复仇光环"
"DOTA_Tooltip_modifier_vengeful_spirit_command_negative_aura_effect_Description"               "伤害减少 %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_fear"                                    "来自虚空交换的恐惧"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_fear_description"                        "这个生物被英雄复仇之魂吓坏了"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_buff"                                    "恐怖浪潮"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_buff_Description"                        "从敌人那里偷走了基础伤害。"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_debuff"                                  "恐怖浪潮"
"DOTA_Tooltip_modifier_vengeful_spirit_wave_of_terror_debuff_Description"                      "护甲减少 %dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_vengeful_spirit_command_aura_buff"                                      "复仇光环"
"DOTA_Tooltip_modifier_vengeful_spirit_command_aura_buff_Description"                          "伤害增加 %dMODIFIER_PROPERTY_TOOLTIP%%%，强度增加 %dMODIFIER_PROPERTY_TOOLTIP2%"
"DOTA_Tooltip_modifier_tempest_double_illusion"                                                "复仇的化身"
"DOTA_Tooltip_modifier_tempest_double_illusion_Description"                                    "传出伤害 - %dMODIFIER_PROPERTY_TOOLTIP%%%，传入伤害 - %dMODIFIER_PROPERTY_TOOLTIP2%%%"
"npc_dota_hero_vengefulspirit_str6"                                                            "强力魔法飞弹"
"npc_dota_hero_vengefulspirit_str6_description"                                                "魔法飞弹伤害威力50%。"
"npc_dota_hero_vengefulspirit_str7"                                                            "更强的力量！"
"npc_dota_hero_vengefulspirit_str7_description"                                                "复仇光环赋予 17% 的力量。"
"npc_dota_hero_vengefulspirit_str8"                                                            "智慧无边"
"npc_dota_hero_vengefulspirit_str8_description"                                                "复仇化身受到的伤害减少 35%。"
"npc_dota_hero_vengefulspirit_str9"                                                            "尝试对我造成伤害 Invoker"
"npc_dota_hero_vengefulspirit_str9_description"                                                "恐怖之波使敌人伤害减少 30%"
"npc_dota_hero_vengefulspirit_str10"                                                           "你觉得我很弱吗？"
"npc_dota_hero_vengefulspirit_str10_description"                                               "复仇光环提供 2% 的生命恢复。"
"npc_dota_hero_vengefulspirit_str11"                                                           "就这样吧，你不会杀我的"
"npc_dota_hero_vengefulspirit_str11_description"                                               "英雄和阿凡达从攻击中获得 15% 的总生命偷取。"
"npc_dota_hero_vengefulspirit_str12"                                                           "盾牌-两个朋友"
"npc_dota_hero_vengefulspirit_str12_description"                                               "3费阿凡达"
"npc_dota_hero_vengefulspirit_str13"                                                           "全球雷霆"
"npc_dota_hero_vengefulspirit_str13_description"                                               "所有级别的克隆人寿命均为 120 秒。"
"npc_dota_hero_vengefulspirit_agi6"                                                            "抓住肉排"
"npc_dota_hero_vengefulspirit_agi6_description"                                                "对敌人叠加护甲减少效果，效果持续时间+5秒。"
"npc_dota_hero_vengefulspirit_agi6_tooltip"                                                    "1 层使护甲减少基础值 100%，后续每层减少 20%，最多 6 层。"
"npc_dota_hero_vengefulspirit_agi7"                                                            "必要的技能"
"npc_dota_hero_vengefulspirit_agi7_description"                                                "召唤死亡幻象"
"npc_dota_hero_vengefulspirit_agi8"                                                            "3条路"
"npc_dota_hero_vengefulspirit_agi8_description"                                                "恐怖之波向三个方向施展。"
"npc_dota_hero_vengefulspirit_agi9"                                                            "呜呜"
"npc_dota_hero_vengefulspirit_agi9_description"                                                "每能力等级+70 幻象移动速度。"
"npc_dota_hero_vengefulspirit_agi10"                                                           "疯狂的关键攻击"
"npc_dota_hero_vengefulspirit_agi10_description"                                               "眩晕会造成致命一击。攻击力\n100 + 75 * 能力等级。"
"npc_dota_hero_vengefulspirit_agi11"                                                           "喝了那玩意儿"
"npc_dota_hero_vengefulspirit_agi11_description"                                               "对恐怖之波造成 50% 敏捷伤害。"
"npc_dota_hero_vengefulspirit_agi12"                                                           "阿凡达-所有四种元素"
"npc_dota_hero_vengefulspirit_agi12_description"                                               "所有级别的阿凡达伤害均为 100%。"
"npc_dota_hero_vengefulspirit_agi13"                                                           "顽强的败类"
"npc_dota_hero_vengefulspirit_agi13_description"                                               "复仇光环 x3 伤害，增加物品伤害"
"npc_dota_hero_vengefulspirit_int6"                                                            "我自由了..."
"npc_dota_hero_vengefulspirit_int6_description"                                                "复仇的化身可以使用能力。"
"npc_dota_hero_vengefulspirit_int7"                                                            "我们需要给自己打气"
"npc_dota_hero_vengefulspirit_int7_description"                                                "恐惧之波伤害为 40%。"
"npc_dota_hero_vengefulspirit_int8"                                                            "我很兴奋"
"npc_dota_hero_vengefulspirit_int8_description"                                                "魔法飞弹伤害 50%。"
"npc_dota_hero_vengefulspirit_int9"                                                            "坚强=聪明"
"npc_dota_hero_vengefulspirit_int9_description"                                                "复仇光环给予智力相当于力量的 60%。"
"npc_dota_hero_vengefulspirit_int9_tooltip"                                                    "只影响主人。"
"npc_dota_hero_vengefulspirit_int10"                                                           "哦哦哦"
"npc_dota_hero_vengefulspirit_int10_description"                                               "恐怖之波使敌人着火 3 秒，使他们每秒受到 20% 的伤害。"
"npc_dota_hero_vengefulspirit_int10_tooltip"                                                   "敌人将受到基础伤害的 20%。"
"npc_dota_hero_vengefulspirit_int11"                                                           "跳"
"npc_dota_hero_vengefulspirit_int11_description"                                               "魔法导弹弹跳一次。"
"npc_dota_hero_vengefulspirit_int12"                                                           "戳，再戳"
"npc_dota_hero_vengefulspirit_int12_description"                                               "攻击时魔法飞弹7%触发。"
"npc_dota_hero_vengefulspirit_int12_tooltip"                                                   "魔法飞弹眩晕效果不起作用。"
"npc_dota_hero_vengefulspirit_int13"                                                           "多戳点"
"npc_dota_hero_vengefulspirit_int13_description"                                               "攻击时魔法飞弹12%触发。"
"npc_dota_hero_vengefulspirit_int13_tooltip"                                                   "魔法飞弹眩晕效果不起作用。"
"DOTA_Tooltip_ability_razor_plasma_field_lua"                                                  "等离子场"
"DOTA_Tooltip_ability_razor_plasma_field_lua_Description"                                      "英雄释放出一波能量等离子波，然后能量波返回到他身上。这股能量波会减慢敌人的速度并对他们造成伤害：离主人越远，速度就越慢，伤害也就越强。当朝两个方向移动。"
"DOTA_Tooltip_ability_razor_plasma_field_lua_Lore"                                             "等离子力量使地下世界受闪电幽灵的摆布。"
"DOTA_Tooltip_ability_razor_plasma_field_lua_damage_min"                                       "最小伤害："
"DOTA_Tooltip_ability_razor_plasma_field_lua_damage_max"                                       "最大伤害："
"DOTA_Tooltip_ability_razor_plasma_field_lua_slow_min"                                         "%最慢："
"DOTA_Tooltip_ability_razor_plasma_field_lua_slow_max"                                         "%最大慢："
"DOTA_Tooltip_ability_razor_plasma_field_lua_slow_duration"                                    "缓慢持续时间："
"DOTA_Tooltip_ability_razor_plasma_field_lua_radius"                                           "半径："
"DOTA_Tooltip_ability_static_link_lua"                                                         "静态链接"
"DOTA_Tooltip_ability_static_link_lua_Description"                                             "与目标敌方英雄建立电连接，将其攻击伤害转移给该能力的拥有者。当连接处于活动状态时，攻击不会中断移动。"
"DOTA_Tooltip_ability_static_link_lua_Lore"                                                    "闪电幽灵的极性会向其吸引电流，从而消耗其另一端的能量。"
"DOTA_Tooltip_ability_static_link_lua_Note0"                                                   "如果目标死亡或移动超过施法距离的 %drain_range_buffer%，则链接将提前中断。"
"DOTA_Tooltip_ability_static_link_lua_drain_rate"                                              "伤害变化率："
"DOTA_Tooltip_ability_static_link_lua_drain_length"                                            "链接持续时间："
"DOTA_Tooltip_ability_static_link_lua_drain_duration"                                          "效果持续时间："
"DOTA_Tooltip_ability_static_link_lua_maximum_damage_reduction"                                "%最大伤害减少："
"DOTA_Tooltip_ability_razor_unstable_current_bh"                                               "风暴潮"
"DOTA_Tooltip_ability_razor_unstable_current_bh_Description"                                   "被动地加快该技能使用者的移动速度。受到攻击时，攻击者和附近的其他几个敌人有可能被闪电击中，造成伤害并减缓受害者的速度。当英雄成为法术目标时，该效果总是会触发。从额外的受害者到第一个受害者，依次选择与罪犯相同类型的生物。"
"DOTA_Tooltip_ability_razor_unstable_current_bh_Lore"                                          "谁接近雷霆幽灵，都会受到电击治疗的回报。"
"DOTA_Tooltip_ability_razor_unstable_current_bh_movement_speed_pct"                            "%高级速度："
"DOTA_Tooltip_ability_razor_unstable_current_bh_passive_area_damage"                           "损害："
"DOTA_Tooltip_ability_razor_unstable_current_bh_radius"                                        "半径："
"DOTA_Tooltip_ability_razor_unstable_current_bh_max_targets"                                   "最大目标："
"DOTA_Tooltip_ability_razor_unstable_current_bh_chance"                                        "%机会："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua"                                              "风暴之眼"
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_Description"                                  "在英雄上方聚集风暴云，向生命值最低的敌人发起闪电攻击，对他们造成伤害并降低他们的护甲值。<br><br>该能力将英雄伤害的 %damage_perc%%% 视为技能伤害。"
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_Note0"                                        "每次攻击都会击中影响范围内生命值最少的敌人。"
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_Note1"                                        "云主要攻击受静态链接影响的英雄。"
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_Note2"                                        "多种能力叠加。"
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_radius"                                       "半径："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_duration"                                     "期间："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_strike_interval"                              "罢工间隔："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_armor_reduction"                              "护甲减少："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_damage"                                       "损害："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_targets_count"                                "目标号码："
"DOTA_Tooltip_ability_razor_eye_of_the_storm_lua_max_armor_reduction"                          "最大护甲减少："
"DOTA_Tooltip_modifier_static_link_lua_buff"                                                   "静态链接"
"DOTA_Tooltip_modifier_static_link_lua_buff_Description"                                       "偷走了 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% 伤害。"
"DOTA_Tooltip_modifier_static_link_lua_debuff"                                                 "静态链接"
"DOTA_Tooltip_modifier_static_link_lua_debuff_Description"                                     "损失 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% 伤害。"
"DOTA_Tooltip_modifier_razor_eye_of_the_storm_lua"                                             "风暴之眼"
"DOTA_Tooltip_modifier_razor_eye_of_the_storm_lua_Description"                                 "每次雷击都会对受害者造成伤害并降低他们的护甲。"
"DOTA_Tooltip_modifier_razor_eye_of_the_storm_lua_armor"                                       "风暴之眼的铠甲"
"DOTA_Tooltip_modifier_razor_eye_of_the_storm_lua_armor_Description"                           "护甲减少 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。"
"DOTA_Tooltip_modifier_razor_unstablecurrent_slow"                                             "电流不稳定"
"DOTA_Tooltip_modifier_razor_unstablecurrent_slow_Description"                                 "移动速度降低了 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。"
"DOTA_Tooltip_modifier_razor_plasma_field_lua_slow"                                            "等离子场"
"DOTA_Tooltip_modifier_razor_plasma_field_lua_slow_Description"                                "移动速度降低了 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。"
"DOTA_Tooltip_modifier_static_link_lua_attribute"                                              "静态链接"
"DOTA_Tooltip_modifier_static_link_lua_attribute_Description"                                  "所有属性的%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_static_link_lua_attribute_permanent"                                    "静态链接"
"DOTA_Tooltip_modifier_static_link_drain_Description"                                          "伤害减少 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"
"DOTA_Tooltip_modifier_static_link_lua_permanent_Description"                                  "伤害永久增加 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%。"
"DOTA_Tooltip_modifier_static_link_lua_Description"                                            "伤害增加 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"
"DOTA_Tooltip_modifier_static_link_lua"                                                        "静态链接"
"DOTA_Tooltip_modifier_static_link_lua_permanent"                                              "静态链接"
"DOTA_Tooltip_modifier_static_link_drain"                                                      "静态链接"
"DOTA_Tooltip_modifier_static_link_lua_attribute_permanent_Description"                        "所有属性的%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%，永远。"
"npc_dota_hero_razor_str6"                                                                     "未死的等离子场"
"npc_dota_hero_razor_str6_description"                                                         "等离子场伤害威力为 75%。"
"npc_dota_hero_razor_str7"                                                                     "哎呀，+1 条推文"
"npc_dota_hero_razor_str7_description"                                                         "风暴之眼目标+1。"
"npc_dota_hero_razor_str8"                                                                     "停车！路上，不要开车！"
"npc_dota_hero_razor_str8_description"                                                         "风暴潮速度x2"
"npc_dota_hero_razor_str9"                                                                     "马克西姆斯"
"npc_dota_hero_razor_str9_description"                                                         "等离子场总是造成最大伤害。"
"npc_dota_hero_razor_str10"                                                                    "加速铸造"
"npc_dota_hero_razor_str10_description"                                                        "风暴之眼 - 切换能力，激活时会消耗法力。"
"npc_dota_hero_razor_str11"                                                                    "风雨，聚焦力量"
"npc_dota_hero_razor_str11_description"                                                        "风暴潮伤害威力的 75%。"
"npc_dota_hero_razor_str12"                                                                    "间隔越短，伤害越大"
"npc_dota_hero_razor_str12_description"                                                        "-0.15秒。风暴之眼触发间隔"
"npc_dota_hero_razor_str13"                                                                    "全球雷霆"
"npc_dota_hero_razor_str13_description"                                                        "-0.15秒。风暴之眼触发间隔"
"npc_dota_hero_razor_agi6"                                                                     "为什么不"
"npc_dota_hero_razor_agi6_description"                                                         "风暴之眼攻击造成的伤害+60%"
"npc_dota_hero_razor_agi7"                                                                     "快速智慧的弹丸"
"npc_dota_hero_razor_agi7_description"                                                         "英雄每层静态链接伤害 x2。"
"npc_dota_hero_razor_agi8"                                                                     "属性狩猎"
"npc_dota_hero_razor_agi8_description"                                                         "静态链接你获得所有属性，每秒获得所有属性1，持续时间1*能力等级。"
"npc_dota_hero_razor_agi9"                                                                     "吸并攻击？为什么不呢？"
"npc_dota_hero_razor_agi9_description"                                                         "英雄以x3的间隔攻击静态链接的目标；英雄攻击之间的间隔，最大间隔为1.5秒。"
"npc_dota_hero_razor_agi10"                                                                    "链接x2"
"npc_dota_hero_razor_agi10_description"                                                        "英雄的堆栈持续时间静态链接 x2。"
"npc_dota_hero_razor_agi11"                                                                    "诅咒光环"
"npc_dota_hero_razor_agi11_description"                                                        "风暴之眼伤害中所有属性总和的1/5"
"npc_dota_hero_razor_agi12"                                                                    "永远"
"npc_dota_hero_razor_agi12_description"                                                        "有 5% 的机会永远获得堆栈。"
"npc_dota_hero_razor_agi13"                                                                    "遍及智慧"
"npc_dota_hero_razor_agi13_description"                                                        "静态链接-光环，作用于半径内的所有敌人。"
"npc_dota_hero_razor_int6"                                                                     "从物理学到魔术师（泥王子）"
"npc_dota_hero_razor_int6_description"                                                         "风暴之眼的伤害类型变为魔法。"
"npc_dota_hero_razor_int6_tooltip"                                                             "攻击伤害百分比不起作用。"
"npc_dota_hero_razor_int7"                                                                     "我喜欢这个。嗨嗨"
"npc_dota_hero_razor_int7_description"                                                         "风暴潮冷却时间1秒。"
"npc_dota_hero_razor_int8"                                                                     "更强大"
"npc_dota_hero_razor_int8_description"                                                         "等离子场伤害 50% 智力"
"npc_dota_hero_razor_int9"                                                                     "智慧风暴"
"npc_dota_hero_razor_int9_description"                                                         "风暴之眼伤害+75% 智力。"
"npc_dota_hero_razor_int10"                                                                    "智力风暴"
"npc_dota_hero_razor_int10_description"                                                        "风暴潮伤害 50% 智力。"
"npc_dota_hero_razor_int11"                                                                    "双圈"
"npc_dota_hero_razor_int11_description"                                                        "第二波等离子场，延迟0.8秒。"
"npc_dota_hero_razor_int12"                                                                    "因巴圈"
"npc_dota_hero_razor_int12_description"                                                        "攻击时有 10% 几率使用等离子场。"
"npc_dota_hero_razor_int13"                                                                    "双重伤害"
"npc_dota_hero_razor_int13_description"                                                        "如果注入了天赋，则可以进行 2 波攻击。"
"DOTA_Tooltip_ability_death_prophet_crypt_swarm_bh"                                            "地穴群"
"DOTA_Tooltip_ability_death_prophet_crypt_swarm_bh_Description"                                "派遣一群有翅膀的生物，对路上的敌人造成伤害。"
